,mode,map,type,pl1_tm1_brawler,pl1_tm1_brwlr_trop,pl1_tm1_brwlr_pwr,pl2_tm1_brawler,pl2_tm1_brwlr_trop,pl2_tm1_brwlr_pwr,pl3_tm1_brawler,pl3_tm1_brwlr_trop,pl3_tm1_brwlr_pwr,pl1_tm2_brawler,pl1_tm2_brwlr_trop,pl1_tm2_brwlr_pwr,pl2_tm2_brawler,pl2_tm2_brwlr_trop,pl2_tm2_brwlr_pwr,pl3_tm2_brawler,pl3_tm2_brwlr_trop,pl3_tm2_brwlr_pwr,tm1_win,unq_battle_id
0,gemGrab,Deep Diner,ranked,STU,998,10,SANDY,1062,10,BYRON,1034,10,SURGE,831,10,BELLE,563,10,TARA,653,10,True,20210810T160226.000Z_15000012_5141
1,gemGrab,Deep Diner,ranked,BUZZ,648,10,BYRON,1039,10,SANDY,1067,10,SANDY,1136,10,TARA,1005,10,GENE,1193,10,False,20210810T160758.000Z_15000012_6088
2,gemGrab,Deep Diner,ranked,LEON,823,10,COLT,753,10,AMBER,767,10,BYRON,1028,10,TARA,946,10,SANDY,1056,10,False,20210810T161442.000Z_15000012_5373
3,gemGrab,Deep Diner,ranked,BYRON,1033,10,TARA,952,10,SANDY,1061,10,LEON,928,10,TARA,600,10,JESSIE,912,10,True,20210810T161730.000Z_15000012_5486
4,gemGrab,Deep Diner,ranked,BYRON,1038,10,TARA,958,10,SANDY,1066,10,BEA,585,10,JESSIE,735,10,MORTIS,752,10,True,20210810T162343.000Z_15000012_5134
5,knockout,Deep End,ranked,BO,786,10,8-BIT,707,10,NANI,905,10,NANI,984,10,COLONEL RUFFS,966,10,BO,856,10,True,20210812T165351.000Z_15000429_5204
6,knockout,Deep End,ranked,BO,900,10,8-BIT,963,10,NANI,834,10,NANI,974,10,COLONEL RUFFS,956,10,BO,847,10,False,20210812T165731.000Z_15000429_5474
7,knockout,Deep End,ranked,BO,619,9,8-BIT,674,10,NANI,896,10,NANI,980,10,COLONEL RUFFS,962,10,BO,854,10,False,20210812T170243.000Z_15000429_4985
8,knockout,Deep End,ranked,8-BIT,599,9,BO,786,10,NANI,837,10,NANI,986,10,COLONEL RUFFS,968,10,BO,861,10,False,20210812T170557.000Z_15000429_5037
9,knockout,Deep End,ranked,NANI,992,10,BO,868,10,COLONEL RUFFS,974,10,BO,615,10,COLONEL RUFFS,674,10,NANI,836,9,True,20210812T171026.000Z_15000429_4959
10,knockout,Deep End,ranked,NANI,767,10,BROCK,755,10,PIPER,765,10,NANI,998,10,COLONEL RUFFS,980,10,BO,875,10,True,20210812T171459.000Z_15000429_5140
11,knockout,Deep End,ranked,NANI,988,10,COLONEL RUFFS,970,10,BO,866,10,NANI,772,10,BO,821,10,COLETTE,810,10,True,20210812T172054.000Z_15000429_5227
12,knockout,Deep End,ranked,NANI,994,10,COLONEL RUFFS,976,10,BO,873,10,PIPER,602,10,BO,727,9,BROCK,754,10,True,20210812T172420.000Z_15000429_4926
13,knockout,Deep End,ranked,COLONEL RUFFS,982,10,BO,880,10,NANI,1000,10,NANI,1274,10,BO,1209,10,COLONEL RUFFS,1168,10,True,20210812T172712.000Z_15000429_6513
