,mode,map,type,pl1_tm1_brawler,pl1_tm1_brwlr_trop,pl1_tm1_brwlr_pwr,pl2_tm1_brawler,pl2_tm1_brwlr_trop,pl2_tm1_brwlr_pwr,pl3_tm1_brawler,pl3_tm1_brwlr_trop,pl3_tm1_brwlr_pwr,pl1_tm2_brawler,pl1_tm2_brwlr_trop,pl1_tm2_brwlr_pwr,pl2_tm2_brawler,pl2_tm2_brwlr_trop,pl2_tm2_brwlr_pwr,pl3_tm2_brawler,pl3_tm2_brwlr_trop,pl3_tm2_brwlr_pwr,tm1_win,unq_battle_id
0,brawlBall,Pinball Dreams,ranked,TARA,957,10,SQUEAK,891,10,MORTIS,821,10,BROCK,932,10,MORTIS,897,10,SQUEAK,932,10,True,20210825T112035.000Z_15000118_5430
1,brawlBall,Pinball Dreams,ranked,BELLE,873,10,DARRYL,950,10,MORTIS,868,10,TARA,963,10,SQUEAK,898,10,MORTIS,805,10,True,20210825T112526.000Z_15000118_5357
2,brawlBall,Pinball Dreams,ranked,TARA,953,10,SQUEAK,889,10,MORTIS,785,10,POCO,873,10,FRANK,986,10,MORTIS,888,10,True,20210825T112915.000Z_15000118_5374
3,brawlBall,Pinball Dreams,ranked,SQUEAK,896,10,TARA,959,10,STU,940,10,CROW,950,10,SURGE,960,10,BROCK,942,10,True,20210825T113226.000Z_15000118_5647
4,brawlBall,Pinball Dreams,ranked,FRANK,749,10,BUZZ,780,10,POCO,785,10,STU,781,10,GRIFF,831,10,MORTIS,775,10,False,20210825T125955.000Z_15000118_4701
5,brawlBall,Pinball Dreams,ranked,STU,789,10,GRIFF,838,10,MORTIS,783,10,EMZ,807,10,EL PRIMO,831,10,ROSA,767,10,True,20210825T130204.000Z_15000118_4815
6,brawlBall,Pinball Dreams,ranked,BARLEY,874,10,BROCK,884,10,MORTIS,806,10,STU,797,10,GRIFF,845,10,MORTIS,791,10,False,20210825T130330.000Z_15000118_4997
7,brawlBall,Pinball Dreams,ranked,BROCK,807,10,MORTIS,799,10,GRIFF,852,10,CROW,865,10,FRANK,847,10,MORTIS,819,10,True,20210825T130514.000Z_15000118_4989
8,brawlBall,Pinball Dreams,ranked,BROCK,814,10,GRIFF,859,10,MORTIS,807,10,MORTIS,857,10,DARRYL,850,10,LEON,758,10,False,20210825T130720.000Z_15000118_4945
9,brawlBall,Pinball Dreams,ranked,TICK,741,10,BROCK,827,10,COLT,849,10,BEA,807,10,MORTIS,798,10,GRIFF,850,10,False,20210825T130820.000Z_15000118_4872
10,brawlBall,Pinball Dreams,ranked,BEA,814,10,GRIFF,857,10,MORTIS,806,10,MORTIS,841,10,SHELLY,866,10,TICK,852,10,False,20210825T130948.000Z_15000118_5036
11,brawlBall,Pinball Dreams,ranked,BEA,805,10,GRIFF,848,10,MORTIS,797,10,BROCK,824,10,NITA,838,10,MORTIS,789,10,True,20210825T131328.000Z_15000118_4901
12,brawlBall,Pinball Dreams,ranked,TARA,793,10,BEA,880,10,NITA,838,10,BEA,812,10,MORTIS,805,10,GRIFF,855,10,True,20210825T131616.000Z_15000118_4983
13,brawlBall,Pinball Dreams,ranked,MORTIS,796,10,BROCK,805,10,GRIFF,846,10,LEON,933,10,BROCK,936,10,FRANK,936,10,False,20210825T131737.000Z_15000118_5252
14,brawlBall,Pinball Dreams,ranked,MAX,886,10,MORTIS,787,10,STU,849,10,DYNAMIKE,679,10,SQUEAK,885,10,PIPER,828,10,True,20210825T132130.000Z_15000118_4914
15,brawlBall,Pinball Dreams,ranked,SPIKE,823,10,BROCK,799,10,MORTIS,820,10,MORTIS,830,10,SQUEAK,876,10,BEA,872,10,False,20210825T132538.000Z_15000118_5020
16,brawlBall,Pinball Dreams,ranked,BIBI,648,10,LEON,758,9,COLETTE,900,10,MORTIS,837,10,NANI,849,10,SQUEAK,883,10,False,20210825T132810.000Z_15000118_4875
17,brawlBall,Pinball Dreams,ranked,NANI,856,10,MORTIS,844,10,SQUEAK,890,10,MORTIS,892,10,BULL,813,10,JACKY,780,10,False,20210825T133009.000Z_15000118_5075
18,brawlBall,Pinball Dreams,ranked,COLETTE,874,10,MORTIS,835,10,SQUEAK,881,10,FRANK,689,10,MORTIS,749,10,GENE,879,10,True,20210825T133143.000Z_15000118_4907
19,brawlBall,Pinball Dreams,ranked,SHELLY,885,10,BROCK,912,10,SURGE,887,10,DYNAMIKE,854,10,SQUEAK,888,10,MORTIS,842,10,True,20210825T133412.000Z_15000118_5268
20,brawlBall,Pinball Dreams,ranked,MORTIS,833,10,SQUEAK,879,10,MAX,750,10,TARA,881,10,MORTIS,973,10,BROCK,1002,10,False,20210825T133633.000Z_15000118_5318
21,brawlBall,Pinball Dreams,ranked,MAX,742,10,MORTIS,824,10,SQUEAK,870,10,TARA,790,10,JACKY,862,10,BEA,859,10,True,20210825T133916.000Z_15000118_4947
