,mode,map,type,pl1_tm1_brawler,pl1_tm1_brwlr_trop,pl1_tm1_brwlr_pwr,pl2_tm1_brawler,pl2_tm1_brwlr_trop,pl2_tm1_brwlr_pwr,pl3_tm1_brawler,pl3_tm1_brwlr_trop,pl3_tm1_brwlr_pwr,pl1_tm2_brawler,pl1_tm2_brwlr_trop,pl1_tm2_brwlr_pwr,pl2_tm2_brawler,pl2_tm2_brwlr_trop,pl2_tm2_brwlr_pwr,pl3_tm2_brawler,pl3_tm2_brwlr_trop,pl3_tm2_brwlr_pwr,tm1_win,unq_battle_id
431,heist,Kaboom Canyon,ranked,SPIKE,899,10,BELLE,968,10,STU,958,10,CROW,1026,10,COLETTE,1046,10,BYRON,989,10,True,20210821T211506.000Z_15000018_5886
432,heist,Kaboom Canyon,ranked,CROW,1015,10,COLETTE,1035,10,BYRON,979,10,CROW,930,10,COLETTE,791,10,POCO,749,10,True,20210821T211841.000Z_15000018_5499
433,brawlBall,Sneaky Fields,ranked,NITA,1030,10,PIPER,1080,10,SANDY,871,10,STU,825,10,GENE,856,10,SANDY,814,10,True,20210821T211914.000Z_15000050_5476
434,brawlBall,Sneaky Fields,ranked,COLT,906,10,GENE,912,10,SANDY,948,10,NITA,1035,10,PIPER,1085,10,SANDY,878,10,False,20210821T212121.000Z_15000050_5764
435,brawlBall,Sneaky Fields,ranked,NITA,1040,10,PIPER,1090,10,SANDY,885,10,MAX,977,10,BEA,922,10,DYNAMIKE,969,10,True,20210821T212327.000Z_15000050_5883
436,heist,Kaboom Canyon,ranked,CROW,1020,10,COLETTE,1040,10,BYRON,985,10,COLETTE,892,10,BYRON,913,10,CROW,827,10,False,20210821T212345.000Z_15000018_5677
437,brawlBall,Sneaky Fields,ranked,NITA,1045,10,PIPER,1095,10,SANDY,892,10,ROSA,811,10,POCO,819,10,BULL,891,10,True,20210821T212635.000Z_15000050_5553
438,brawlBall,Sneaky Fields,ranked,GRIFF,132,10,AMBER,272,10,GENE,920,10,NITA,1050,10,MAX,1000,10,SANDY,899,10,False,20210821T212949.000Z_15000050_4273
439,brawlBall,Sneaky Fields,ranked,GENE,865,10,CROW,849,10,LEON,838,10,NITA,1055,10,MAX,1005,10,SANDY,906,10,False,20210821T213203.000Z_15000050_5518
440,brawlBall,Sneaky Fields,ranked,GENE,797,10,STU,684,10,LEON,742,10,MAX,1010,10,NITA,1060,10,SANDY,912,10,False,20210821T213434.000Z_15000050_5205
